city,data_provider,table,intersection_id,intersection,intersection_name,intersection_lat,intersection_long,publish_timestamp,bin_start_date_time,bin_end_date_time,direction,crosswalk_approach,classification,yellow_light_runners,red_light_runners,original_content
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775083903733000,1774909500000000,1774909560000000,CW,W,[Pedestrian],0,1,"{binStartDateTime=2026-03-30T22:25:00Z, binEndDateTime=2026-03-30T22:26:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=0, redLightRunners=1}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775083903733000,1774909680000000,1774909740000000,CCW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T22:28:00Z, binEndDateTime=2026-03-30T22:29:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775083903733000,1774909680000000,1774909740000000,CW,W,[Pedestrian],2,0,"{binStartDateTime=2026-03-30T22:28:00Z, binEndDateTime=2026-03-30T22:29:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775083903734000,1774909800000000,1774909860000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T22:30:00Z, binEndDateTime=2026-03-30T22:31:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775083903734000,1774909860000000,1774909920000000,CCW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T22:31:00Z, binEndDateTime=2026-03-30T22:32:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045240000,1774808340000000,1774808400000000,CCW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:19:00Z, binEndDateTime=2026-03-29T18:20:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045240000,1774808340000000,1774808400000000,CW,S,[Pedestrian],2,0,"{binStartDateTime=2026-03-29T18:19:00Z, binEndDateTime=2026-03-29T18:20:00Z, direction=CW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045241000,1774808520000000,1774808580000000,CCW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:22:00Z, binEndDateTime=2026-03-29T18:23:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045241000,1774808580000000,1774808640000000,CW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:23:00Z, binEndDateTime=2026-03-29T18:24:00Z, direction=CW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045241000,1774808580000000,1774808640000000,CCW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:23:00Z, binEndDateTime=2026-03-29T18:24:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
