count,date,time_interval,approach,class,city,intersection,table,publish_timestamp,data_provider,original_content,interval_start_timestamp,interval_end_timestamp
2,2026-03-03,06:30 AM - 06:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-03,06:30 AM - 06:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
12,2026-03-03,06:30 AM - 06:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
4,2026-03-03,06:15 AM - 06:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
3,2026-03-03,06:15 AM - 06:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:00 AM - 05:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
2,2026-03-03,06:00 AM - 06:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:30 AM - 05:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
3,2026-03-03,06:00 AM - 06:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
1,2026-03-03,05:15 AM - 05:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139325000,derq,,,
4,2026-03-03,06:45 AM - 06:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
12,2026-03-03,06:45 AM - 06:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
15,2026-03-03,07:15 AM - 07:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
11,2026-03-03,07:00 AM - 07:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
2,2026-03-03,07:00 AM - 07:14 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
1,2026-03-03,07:30 AM - 07:44 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
30,2026-03-03,07:30 AM - 07:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
11,2026-03-03,07:30 AM - 07:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
2,2026-03-03,07:00 AM - 07:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
15,2026-03-03,06:45 AM - 06:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
4,2026-03-03,07:15 AM - 07:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
7,2026-03-03,07:30 AM - 07:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
4,2026-03-03,07:15 AM - 07:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
3,2026-03-03,07:00 AM - 07:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
2,2026-03-03,07:45 AM - 07:59 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
1,2026-03-03,07:15 AM - 07:29 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
6,2026-03-03,07:45 AM - 07:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
1,2026-03-03,07:30 AM - 07:44 AM,SB,mobility_aid,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139326000,derq,,,
37,2026-03-03,08:15 AM - 08:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
2,2026-03-03,08:00 AM - 08:14 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,07:45 AM - 07:59 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
19,2026-03-03,08:00 AM - 08:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
7,2026-03-03,08:00 AM - 08:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
2,2026-03-03,08:15 AM - 08:29 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
11,2026-03-03,08:15 AM - 08:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,08:15 AM - 08:29 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
12,2026-03-03,08:30 AM - 08:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
34,2026-03-03,08:00 AM - 08:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
11,2026-03-03,07:45 AM - 07:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
18,2026-03-03,08:15 AM - 08:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
29,2026-03-03,07:45 AM - 07:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,08:00 AM - 08:14 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,07:45 AM - 07:59 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,08:30 AM - 08:44 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139327000,derq,,,
1,2026-03-03,08:45 AM - 08:59 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
1,2026-03-03,09:00 AM - 09:14 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
6,2026-03-03,08:45 AM - 08:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
13,2026-03-03,08:45 AM - 08:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
39,2026-03-03,08:45 AM - 08:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
8,2026-03-03,09:00 AM - 09:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
2,2026-03-03,08:30 AM - 08:44 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
1,2026-03-03,09:15 AM - 09:29 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
24,2026-03-03,09:15 AM - 09:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
3,2026-03-03,09:15 AM - 09:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
1,2026-03-03,09:00 AM - 09:14 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
38,2026-03-03,09:00 AM - 09:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
7,2026-03-03,08:30 AM - 08:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
44,2026-03-03,08:30 AM - 08:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
1,2026-03-03,08:30 AM - 08:44 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
7,2026-03-03,09:00 AM - 09:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
1,2026-03-03,08:45 AM - 08:59 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139328000,derq,,,
2,2026-03-03,09:30 AM - 09:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
15,2026-03-03,09:30 AM - 09:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
15,2026-03-03,09:45 AM - 09:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,10:15 AM - 10:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
2,2026-03-03,10:15 AM - 10:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,09:45 AM - 09:59 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
13,2026-03-03,09:45 AM - 09:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
6,2026-03-03,10:30 AM - 10:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
10,2026-03-03,10:15 AM - 10:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,10:45 AM - 10:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
7,2026-03-03,10:00 AM - 10:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,10:00 AM - 10:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,10:00 AM - 10:14 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
1,2026-03-03,09:30 AM - 09:44 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
4,2026-03-03,09:45 AM - 09:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
4,2026-03-03,10:00 AM - 10:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
6,2026-03-03,09:15 AM - 09:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139329000,derq,,,
8,2026-03-03,10:45 AM - 10:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
2,2026-03-03,11:00 AM - 11:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,10:45 AM - 10:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
9,2026-03-03,11:00 AM - 11:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
8,2026-03-03,11:00 AM - 11:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
4,2026-03-03,11:15 AM - 11:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,11:15 AM - 11:29 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
2,2026-03-03,11:15 AM - 11:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
7,2026-03-03,11:30 AM - 11:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
7,2026-03-03,11:15 AM - 11:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
2,2026-03-03,11:30 AM - 11:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
2,2026-03-03,11:45 AM - 11:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,11:30 AM - 11:44 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,11:45 AM - 11:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,11:45 AM - 11:59 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
1,2026-03-03,11:45 AM - 11:59 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
8,2026-03-03,11:45 AM - 11:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139330000,derq,,,
4,2026-03-03,12:15 PM - 12:29 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
3,2026-03-03,12:00 PM - 12:14 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
8,2026-03-03,12:00 PM - 12:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
2,2026-03-03,12:15 PM - 12:29 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
1,2026-03-03,12:45 PM - 12:59 PM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
7,2026-03-03,12:45 PM - 12:59 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
2,2026-03-03,12:45 PM - 12:59 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
4,2026-03-03,12:00 PM - 12:14 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
2,2026-03-03,12:30 PM - 12:44 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
6,2026-03-03,12:15 PM - 12:29 PM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
1,2026-03-03,12:30 PM - 12:44 PM,WB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
2,2026-03-03,12:30 PM - 12:44 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
2,2026-03-03,12:00 PM - 12:14 PM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
6,2026-03-03,12:30 PM - 12:44 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
3,2026-03-03,12:45 PM - 12:59 PM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
6,2026-03-03,01:00 PM - 01:14 PM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773738139331000,derq,,,
7,2026-03-05,06:00 AM - 06:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
2,2026-03-05,06:15 AM - 06:29 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
1,2026-03-05,06:15 AM - 06:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
3,2026-03-05,05:45 AM - 05:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
4,2026-03-05,05:45 AM - 05:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
1,2026-03-05,06:00 AM - 06:14 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
3,2026-03-05,06:00 AM - 06:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
2,2026-03-05,06:15 AM - 06:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
1,2026-03-05,05:45 AM - 05:59 AM,EB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
1,2026-03-05,05:15 AM - 05:29 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
1,2026-03-05,05:00 AM - 05:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
2,2026-03-05,06:30 AM - 06:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
10,2026-03-05,06:30 AM - 06:44 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
5,2026-03-05,06:30 AM - 06:44 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
2,2026-03-05,05:15 AM - 05:29 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935107000,derq,,,
12,2026-03-05,07:45 AM - 07:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
35,2026-03-05,07:45 AM - 07:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
2,2026-03-05,07:45 AM - 07:59 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
8,2026-03-05,07:15 AM - 07:29 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
8,2026-03-05,07:30 AM - 07:44 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
15,2026-03-05,06:45 AM - 06:59 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
4,2026-03-05,06:45 AM - 06:59 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
1,2026-03-05,06:45 AM - 06:59 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
4,2026-03-05,06:45 AM - 06:59 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
2,2026-03-05,06:45 AM - 06:59 AM,SB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
6,2026-03-05,07:00 AM - 07:14 AM,NB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
1,2026-03-05,07:00 AM - 07:14 AM,NB,bicycle,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
3,2026-03-05,07:00 AM - 07:14 AM,EB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
13,2026-03-05,07:00 AM - 07:14 AM,SB,pedestrian,alexandria,glebe-potomac-dqchytr8g,alexandria.vru-count,1773748935108000,derq,,,
